Comp% ,PassYards,YPA,TD's,Int,Rating ,Salary,Age
67.2,3971,7.1,26,12,94.3,8.080601,23
65,4581,7.3,26,11,93.3,18.9625,35
64.4,2757,7.3,26,9,99.3,2.583178,24
69.2,4544,7.9,37,10,107.2,5.867191,24
69.1,3733,7.6,15,11,92.1,14,28
67,2055,6.9,16,8,93.5,9.237593,26
65.3,2688,6.7,13,5,89.8,6.580025,24
62.8,3563,7.3,26,8,95.9,9.00354,26
68,1856,8.4,9,4,99.6,31.409,27
57.3,2933,6.6,16,15,75.4,1.593368,24
64.2,4084,7.7,26,10,96.3,21.3,33
70.7,4299,8.2,48,5,121.5,21.642,37
70.2,4823,8.9,33,7,112.4,9.808244,25
68,4169,7.7,24,11,97,25,39
66.1,2259,6.9,16,5,95.9,0.722904,24
66.3,4740,8.1,38,6,108.2,5.346538,25
67.3,4103,7.9,27,9,101.4,21.5,30
66.6,4336,7.3,31,10,98.3,4.832501,23
67,3952,7.2,20,13,90,28.842682,26
64.1,1814,6.3,11,5,87.1,5.504625,23
67.6,4265,8.3,35,13,105,21,32
65.8,2657,7.2,8,10,82.9,1.6625,31
70.5,2942,7.5,24,6,106.4,23.65,42
62.5,2943,6.6,11,10,80.4,5.92274,23
59.6,2208,6.1,9,11,72.7,8.339371,23
57.4,2620,6,16,15,72.8,18.656536,28
65.6,3803,6.3,33,10,94.1,23.75,39
67.1,1096,7.8,7,5,92.4,26.6,29
68.8,4212,7.5,40,13,105.1,31,32
65.7,4633,7.6,40,12,102.2,25,43
65.5,3819,7.9,33,7,106.5,22.5,32
66.7,1582,6.277777778,6,8,78.5,20.3,36
